"watershed","siteId","num_samples","connected","elevation","long","lat","distance_from_outlet","drainage_area_m","mean_canopy","mean_width","date","SpecCond_usCm","mean_temp","n","num_days","read_days","num_dry_days","per_dry","num_days_alt","read_days_alt","num_dry_days_alt","per_dry_alt"
"GP","01M01",6,"Connected",373.909790039062,-96.577021,39.086665,1400,283099,85.8733333333333,2.35,20210605,NA,15.1433674176776,7,110,183,73,39.8907103825137,2,2,0,NA
"GP","01M02",6,"Connected",375.425323486328,-96.576332,39.086288,1510,278823,21.6666666666667,1.11666666666667,20210605,NA,15.1780173310225,7,41,244,203,83.1967213114754,5,47,42,89.3617021276596
"GP","01M03",4,"Disconnected",378.814392089844,-96.575936,39.084711,1700,259970,75.185,1.55,20210606,NA,16.3045736568458,7,23,236,213,90.2542372881356,1,47,46,97.8723404255319
"GP","01M04",6,"Connected",381.355895996094,-96.575156,39.083636,1840,247503,67.5,2.03333333333333,20210606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GP","01M05",6,"Connected",384.710754394531,-96.574188,39.082643,2000,198808,52.0833333333333,2.05166666666667,20210606,NA,15.8203847487002,7,205,226,21,9.29203539823009,37,37,0,0
"GP","02M01",6,"Connected",353.349395751953,-96.58813,39.09188,102,241532,21.4066666666667,1.76666666666667,20210605,NA,16.1772426343154,7,0,132,132,100,0,28,28,NA
"GP","02M02",6,"Connected",356.274871826172,-96.58832556,39.09084425,235,237320,20.41,2.95,20210605,490,16.029259965338,7,30,260,230,88.4615384615385,3,47,44,93.6170212765958
"GP","02M03",6,"Connected",358.495635986328,-96.58859,39.08991,360,203529,21.06,1.66666666666667,20210605,552,16.1449098786828,7,55,236,181,76.6949152542373,0,47,47,100
"GP","02M04",6,"Connected",364.215728759766,-96.589642,39.088242,620,189885,6.63,1.11666666666667,20210605,553,NA,NA,0,215,215,100,0,15,15,NA
"GP","02M05",6,"Connected",367.758941650391,-96.59082413,39.08698067,809,177830,8.66666666666667,1.38333333333333,20210605,572,NA,NA,41,96,55,57.2916666666667,NA,NA,NA,NA
"GP","02M06",6,"Connected",369.406402587891,-96.591427,39.087237,880,156919,1.82,2.13333333333333,20210606,500,15.8397833622184,7,66,330,264,80,6,45,39,86.6666666666667
"GP","02M07",6,"Connected",373.296539306641,-96.59252,39.08648,1040,141328,3.59666666666667,1.5,20210606,556,15.3321837088388,7,272,330,58,17.5757575757576,45,45,0,0
"GP","02M08",6,"Connected",376.867004394531,-96.592913,39.085573,1200,129671,4.16,1.26666666666667,20210606,597,15.2196585788562,7,31,144,113,78.4722222222222,3,45,42,93.3333333333333
"GP","02M09",6,"Connected",379.947204589844,-96.59339,39.08482,1330,98943,10.92,0.766666666666667,20210606,546,15.3102149046794,7,96,330,234,70.9090909090909,14,45,31,68.8888888888889
"GP","02M10",6,"Connected",387.223388671875,-96.59357,39.08251,1600,61497,10.4433333333333,1.15,20210606,532,15.2814090121317,7,137,236,99,41.9491525423729,34,47,13,27.6595744680851
"GP","02M11",6,"Connected",401.544860839844,-96.593682,39.079249,2000,26741,0,0.516666666666667,20210606,561,17.6465043327556,7,218,332,114,34.3373493975904,37,47,10,21.2765957446809
"GP","04M01",6,"Connected",355.157409667969,-96.586195,39.089842,320,397602,18.72,2.55,20210603,NA,15.7289064124783,7,161,256,95,37.109375,26,47,21,44.6808510638298
"GP","04M02",6,"Connected",362.072326660156,-96.58481,39.08775,660,302096,13.4333333333333,2,20210605,NA,15.5250225303293,7,147,213,66,30.9859154929577,32,32,0,NA
"GP","04M03",6,"Connected",364.991577148438,-96.58366,39.08685,810,293020,13.52,2.325,20210605,NA,15.2511057192374,7,114,236,122,51.6949152542373,22,47,25,53.1914893617021
"GP","04M04",6,"Connected",367.72216796875,-96.58345,39.08576,950,284130,15.4266666666667,1.6,20210605,NA,15.1296932409012,7,299,299,0,0,47,47,0,0
"GP","04M05",6,"Connected",370.058471679688,-96.5831,39.08502,1060,238689,19.76,2.11666666666667,20210605,NA,14.9563396880416,7,260,260,0,0,47,47,0,0
"GP","04M06",6,"Connected",372.054779052734,-96.58342,39.084258,1200,233323,17.5933333333333,1.93333333333333,20210606,NA,14.9044835355286,7,30,236,206,87.2881355932203,12,47,35,74.468085106383
"GP","04M07",6,"Connected",376.434906005859,-96.58253,39.08278,1400,151506,20.28,0.591666666666667,20210606,NA,14.6709462738302,7,64,332,268,80.7228915662651,2,47,45,95.7446808510638
"GP","04M08",6,"Connected",380.307403564453,-96.58221,39.08131,1600,138929,9.14333333333333,1.58333333333333,20210606,NA,14.6689410745234,7,331,332,1,0.301204819277108,47,47,0,0
"GP","04M09",6,"Connected",384.876220703125,-96.581629,39.079941,1800,84654,5.72,1.10333333333333,20210606,NA,15.2280329289428,7,172,252,80,31.7460317460317,40,47,7,14.8936170212766
"GP","04M10",6,"Connected",393.935333251953,-96.58289,39.077433,2100,65928,18.6333333333333,1.25,20210606,NA,15.2542547660312,7,50,332,282,84.9397590361446,1,47,46,97.8723404255319
"GP","04M11",6,"Connected",404.717041015625,-96.583835,39.074718,2500,28759,19.4133333333333,0.748333333333333,20210607,NA,15.0480693240901,7,77,332,255,76.8072289156626,23,47,24,51.063829787234
"GP","04M12",6,"Connected",407.246307373047,-96.584063,39.073158,2700,22526,21.875,0.63,20210607,NA,14.4341785095321,7,110,332,222,66.8674698795181,25,47,22,46.8085106382979
"GP","04T02",6,"Connected",387.022369384766,-96.580834,39.079705,1800,36848,9.27333333333333,0.9,20210607,NA,15.8391039861352,7,18,130,112,86.1538461538462,0,15,15,NA
"GP","04W02",6,"Connected",370.992828369141,-96.58689,39.08609,880,61046,21.4933333333333,0.883333333333333,20210607,546,15.8584679376083,7,65,182,117,64.2857142857143,0,3,3,NA
"GP","04W03",6,"Connected",382.255523681641,-96.58803867,39.08385954,1200,42006,4.24666666666667,1.08333333333333,20210607,548,16.3843396880416,7,82,172,90,52.3255813953488,NA,NA,NA,NA
"GP","04W04",6,"Connected",391.086669921875,-96.58866,39.08223,1400,29436,11.0933333333333,0.616666666666667,20210607,555,16.5336655112652,7,25,228,203,89.0350877192982,0,3,3,NA
"GP","20M02",2,"Disconnected",378.933532714844,-96.5737,39.08921,1650,163166,91.68,24,20210605,NA,14.771164644714,7,17,322,305,94.7204968944099,1,37,36,97.2972972972973
"GP","20M04",3,"Disconnected",389.796203613281,-96.57111,39.08709,2060,86075,20.6266666666667,1.6,20210606,NA,15.6570485268631,7,21,252,231,91.6666666666667,1,37,36,97.2972972972973
"GP","20M05",6,"Connected",401.0048828125,-96.568,39.086,2400,54440,61.2466666666667,1.37333333333333,20210606,NA,15.5659965337955,7,121,332,211,63.5542168674699,34,47,13,27.6595744680851
"GP","SFM02",6,"Connected",352.750610351562,-96.58632,39.09126,140,1076787,17.3333333333333,2.66666666666667,20210604,NA,15.5457105719237,7,34,236,202,85.5932203389831,1,47,46,97.8723404255319
"GP","SFM03",6,"Connected",353.415161132812,-96.58578,39.09099,180,670512,21.58,3.5,20210605,566,15.3844090121317,7,15,228,213,93.421052631579,0,28,28,NA
"GP","SFM04",6,"Connected",356.138275146484,-96.5844,39.09089,350,609054,18.8933333333333,3.03833333333333,20210605,NA,15.3634090121317,7,75,332,257,77.4096385542169,13,47,34,72.3404255319149
"GP","SFM05",6,"Connected",361.067810058594,-96.58186,39.09019,660,586702,28.4533333333333,2.545,20210605,NA,15.5381091854419,7,100,236,136,57.6271186440678,14,47,33,70.2127659574468
"GP","SFM06",6,"Connected",365.224548339844,-96.57941,39.0895,910,510121,26.0266666666667,2.44166666666667,20210605,NA,NA,NA,12,129,117,90.6976744186046,1,28,27,NA
"GP","SFM07",6,"Connected",367.348571777344,-96.578458,39.088683,1100,499061,24.0933333333333,1.67833333333333,20210605,NA,15.6730467937608,7,26,260,234,90,2,47,45,95.7446808510638
"GP","SFT01",6,"Connected",356.83984375,-96.58517,39.09185,300,45053,96.5073333333333,2.205,20210606,NA,15.6311178509532,7,60,214,154,71.9626168224299,0,19,19,NA
"MW","GPZ02",6,"Connected",1681.54,-112.448,42.78582,453,1612866.814,89.25,0.725,20230628,116.5,8.0882027729636,7,69,79,10,NA,38,47,9,19.1489361702128
"MW","GPZ03",6,"Connected",1735.7,-112.452,42.78856,990,1485074.204,89.75,0.755,20230628,88.4,7.8314835355286,7,124,124,0,NA,47,47,0,0
"MW","GPZ05",4,"Disconnected",1843.01,-112.457,42.79493,1936,991593.912,NA,0.4625,20230629,69.9,7.62144367417678,7,39,124,85,NA,19,47,28,59.5744680851064
"MW","GPZ06",6,"Connected",1876.34,-112.479,42.7738,3910,1197675.562,93.75,1.28666666666667,20230630,219,6.52248526863085,7,145,145,0,NA,47,47,0,0
"MW","GPZ07",6,"Connected",1951.8,-112.491,42.79168,5439,1731970.07,27,1.20833333333333,20230630,43.2,NA,NA,45,135,90,NA,25,47,22,46.8085106382979
"MW","GPZ08",3,"Disconnected",NA,NA,NA,NA,NA,22,1,20230630,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MW","GSS01",6,"Connected",1640.64,-112.445,42.78484,0,15282538.77,92.5,2.63333333333333,20230628,198.1,8.13715277777778,7,114,114,0,NA,47,47,0,0
"MW","STIC01",6,"Connected",1645.04,-112.444,42.78522,88,15201185.94,92,2.23166666666667,20230627,189.3,9.10514904679376,7,315,315,0,NA,46,46,0,0
"MW","STIC02",6,"Connected",1650.62,-112.445,42.78471,188,13552120.74,59,2.455,20230627,NA,9.03092374350087,7,315,315,0,NA,46,46,0,0
"MW","STIC03",6,"Connected",1676.28,-112.45,42.78446,730,13250086.28,88.75,1.95166666666667,20230628,219.5,8.97727036395147,7,96,96,0,NA,46,46,0,0
"MW","STIC05",5,"Disconnected",1889.48,-112.459,42.79726,2297,416686.884,NA,0.84,20230629,72.9,8.98726516464471,7,124,124,0,NA,47,47,0,0
"MW","STIC06",2,"Disconnected",1907.59,-112.46,42.79766,2397,386679.97,NA,0.9,NA,NA,10.2293916811092,7,7,124,329,NA,0,47,47,100
"MW","STIC07",6,"Connected",1771.24,-112.456,42.78785,1426,470540.177,NA,0.38,20230629,128.5,7.53044367417678,7,336,336,0,NA,47,47,0,0
"MW","STIC09",6,"Connected",1866.33,-112.476,42.78641,3502,841097.155,68.5,0.683333333333333,20230628,59.4,9.03745060658579,7,336,336,0,NA,47,47,0,0
"MW","STIC11",6,"Connected",1841.58,-112.48,42.78342,3746,5393510.907,89.75,3.96,20230629,62.7,8.50900693240901,7,116,116,0,NA,47,47,0,0
"MW","STIC13",4,"Disconnected",1948.06,-112.489,42.79121,5318,837340.897,NA,0.5625,20230630,53.3,8.08397920277296,7,336,336,0,NA,47,47,0,0
"MW","STIC17",6,"Connected",1925.62,-112.492,42.78458,4953,1316515.452,20,2.83,20230629,46.6,7.43370537261698,7,336,336,0,NA,47,47,0,0
"MW","STIC22",5,"Disconnected",1918.91,-112.483,42.77365,4344,726800.505,NA,0.442,20230630,NA,6.59279896013865,7,67,336,269,NA,11,47,36,76.5957446808511
"MW","STIC25",1,"Disconnected",1914.9,-112.483,42.77174,4389,275058.69,NA,NA,NA,NA,10.8107071057192,7,78,334,256,NA,0,47,47,100
"MW","STIC51",6,"Connected",1710.97,-112.457,42.7827,1432,11568885.77,46.5,1.83333333333333,20230628,217.4,8.97923570190641,7,95,95,0,NA,46,46,0,0
"MW","STIC54",6,"Connected",1764.37,-112.466,42.78311,2336,7550262.1,15.75,1.25,20230628,7,9.08198093587522,7,95,95,0,NA,46,46,0,0
"MW","STIC55",6,"Connected",1790.45,-112.47,42.78369,2768,6896034.087,66,1.55,20230628,67.5,8.80672443674177,7,95,95,0,NA,46,46,0,0
"MW","STIC63",6,"Connected",1807.22,-112.474,42.78357,3134,5750311.665,72.25,1.25,20230628,67.2,8.58152339688042,7,95,95,0,NA,46,46,0,0
"MW","STIC66",6,"Connected",1918.12,-112.489,42.78896,5011,2756979.356,36.25,0.541666666666667,20230630,58.3,8.60771750433276,7,144,144,0,NA,47,47,0,0
"MW","STIC67",6,"Connected",1972.99,-112.487,42.79303,5552,745520.988,NA,0.491666666666667,20230630,44,8.30336395147314,7,49,144,287,NA,29,47,18,38.2978723404255
"MW","STIC70",6,"Connected",NA,NA,NA,NA,NA,NA,0.83,20230629,70.9,8.22127902946274,7,116,116,0,NA,47,47,0,0
"MW","STIC75",6,"Connected",1734.52,-112.461,42.782,1806,3453580.039,51.75,0.75,20230629,314.5,8.14118544194107,7,116,116,0,NA,47,47,0,0
"MW","STIC76",6,"Connected",1773.08,-112.466,42.77896,2486,3094232.781,74.75,1.78666666666667,20230629,434.7,8.0709116117851,7,116,116,0,NA,47,47,0,0
"MW","STIC78",6,"Connected",1888.85,-112.48,42.77345,4031,1171001.433,68.25,0.768333333333333,20230629,155.9,7.81026343154246,7,331,332,0,NA,47,47,0,0
"SE","TLA01",6,"Connected",374.26611328125,-85.6038345437613,33.7643401484756,1660.41604504394,135532.752,80.5866666666667,0.725,20220610,17.6,19.3730918544194,7,302,340,38,11.1764705882353,23,47,24,51.063829787234
"SE","TLA02",6,"Connected",380.396820068359,-85.6048783881809,33.7645017837324,1772.71073535156,119057.628,95.84,1.1,20220610,16.4,19.5942461005199,7,324,333,9,2.7027027027027,44,44,0,0
"SE","TLA04",6,"Connected",394.891571044921,-85.6071796545222,33.7645610737019,1994.00314013671,84171.636,98.6133333333333,1.25,20220610,16.2,19.0248474870017,7,324,333,9,2.7027027027027,44,44,0,0
"SE","TLB01",2,"Disconnected",355.438201904296,-85.5993666994883,33.7596198153158,646.919906127929,54753.78,93.76,1.3,20220609,16,17.9647175043328,7,260,333,73,21.9219219219219,4,44,40,90.9090909090909
"SE","TLB02",2,"Disconnected",359.213653564453,-85.5994973670062,33.7589387384206,727.365181213379,46537.9439999999,96.88,0.725,20220609,18,18.4862530329289,7,291,334,43,12.874251497006,3,44,41,93.1818181818182
"SE","TLC01",6,"Connected",348.441159912109,-85.5966938409421,33.761578863059,149.462707122802,131877.672,93.0666666666667,0.886666666666667,20220609,17.1,18.844301559792,7,328,340,12,3.52941176470588,35,47,12,25.531914893617
"SE","TLC02",4,"Disconnected",356.394500732421,-85.5991077598455,33.7626717464095,475.720532104492,62046.0479999999,91.16,0.8875,20220609,18.2,18.3780017331023,7,333,333,0,0,44,44,0,0
"SE","TLC03",4,"Disconnected",361.013854980468,-85.6001931901917,33.762725682359,585.167071105957,16387.368,92.2,0.526666666666667,20220609,17.6,18.6197435008666,7,333,333,0,0,44,44,0,0
"SE","TLCG1",6,"Connected",350.65054321289,-85.5976154227019,33.7612896786162,251.387984802246,106546.008,91.3333333333333,0.808333333333333,20220609,17.2,19.295259965338,7,312,333,21,6.30630630630631,23,44,21,47.7272727272727
"SE","TLM01",6,"Connected",346.173687499999,-85.5955077539435,33.7621979862082,0,917927.76,95.32,2.36666666666667,20220609,16.4,20.0737877192982,7,280,280,0,0,40,40,0,0
"SE","TLM03",6,"Connected",348.10513305664,-85.5963165603941,33.7614913335508,152.079038055419,761999.831999999,97.8333333333333,2.11666666666667,20220609,16.6,20.6406239168111,7,332,333,1,0.3003003003003,43,44,1,2.27272727272727
"SE","TLM04",6,"Connected",350.466977783203,-85.5975256781353,33.7606810144778,371.531780578613,737850.744,94.8,1.98333333333333,20220609,16.9,20.699726169844,7,333,333,0,0,44,44,0,0
"SE","TLM05",5,"Connected",352.009094238281,-85.5985082509296,33.7603176011606,493.75734020996,707737.656,96.776,0.98,20220609,16.7,20.9106499133449,7,333,333,0,0,44,44,0,0
"SE","TLM06",6,"Connected",353.467254638671,-85.5994886496682,33.7600873375833,621.921388549804,630221.844,96.0133333333333,2.48333333333333,20220609,17.2,19.2204818024263,7,340,340,0,0,47,47,0,0
"SE","TLM08",6,"Connected",356.914652099609,-85.6012146767239,33.7605813747488,858.034861328125,573476.088,98.2666666666667,2.65,20220609,17.1,19.2480467937608,7,333,333,0,0,44,44,0,0
"SE","TLM09",6,"Connected",358.505859375,-85.6018915563889,33.7606306641945,950.467812988281,543825.635999999,97.8333333333333,2,20220609,17.2,19.269280762565,7,289,333,44,13.2132132132132,44,44,0,0
"SE","TLM10",6,"Connected",361.051361083984,-85.6028545288214,33.761473959732,1111.68612280273,445712.724,98.3533333333333,1.95,20220609,17.2,19.3462235701906,7,340,340,0,0,47,47,0,0
"SE","TLM13",6,"Connected",362.875610351562,-85.6028329495124,33.7621895709006,1217.66436987304,438554.22,98.2666666666667,2.01666666666667,20220610,NA,19.7492547660312,7,333,333,0,0,44,44,0,0
"SE","TLM14",6,"Connected",365.936553955078,-85.602351254333,33.7630081826069,1332.80726782226,376542.252,97.66,1.68333333333333,20220610,17.6,20.2053812824957,7,308,333,25,7.50750750750751,19,44,25,56.8181818181818
"SE","TLM15",6,"Connected",370.074139160156,-85.6028172511026,33.7637709340437,1505.51417846679,354900.6,96.5333333333333,1.76666666666667,20220610,17.7,19.6913362218371,7,332,333,1,0.3003003003003,44,44,0,0
"SE","TLM16",6,"Connected",373.947448730468,-85.6033590563742,33.7647759347599,1670.93161999511,198490.44,97.3133333333333,1.28333333333333,20220610,17.3,18.4905407279029,7,299,340,41,12.0588235294118,12,47,35,74.468085106383
"SE","TLM17",6,"Connected",380.950408935546,-85.6043056468288,33.7660185809779,1842.7260090332,175203.576,97.4866666666667,1.31666666666667,20220610,11.1,19.4808388214905,7,333,333,0,0,44,44,0,0
"SE","TLM18",6,"Connected",389.23208618164,-85.6049032251519,33.7672739226992,1993.6000036621,150742.656,96.5333333333333,1.08333333333333,20220610,16.3,19.1659757365685,7,281,333,52,15.6156156156156,23,44,21,47.7272727272727
"SE","TLM19",6,"Connected",399.736785888671,-85.6057352727657,33.7682072789913,2128.64013159179,92188.1039999999,98.18,1.13333333333333,20220610,15.2,19.3343639514731,7,272,340,68,20,7,47,40,85.1063829787234
"SE","TLM20",5,"Disconnected",405.759460449218,-85.6051306323045,33.7686166406647,2205.3852380371,47329.452,96.2733333333333,0.68,20220610,13.8,NA,NA,130,250,120,48,0,44,44,100
"SE","TLM22",3,"Disconnected",414.702087402343,-85.6042194769941,33.7694886706576,2337.93015625,27851.88,94.54,0.333333333333333,20220610,13.1,23.4126967071057,7,125,333,208,62.4624624624625,0,44,44,100
"SE","TLMG5",6,"Connected",377.167600341796,-85.603838815335,33.7653057690118,1750.87781933593,185730.888,97.5733333333333,1.35,20220610,16.9,19.7569289428076,7,332,333,1,0.3003003003003,44,44,0,0
"SE","TLZ01",6,"Connected",363.077911376953,-85.6033628359713,33.7614713892853,1123.52760888671,57448.6559999999,93.76,0.528333333333333,20220610,17,17.8167660311958,7,333,333,0,0,44,44,0,0
"GP","SFM01",NA,NA,350.811157226562,-96.587193,39.092281,0,1326873,NA,NA,20210604,563,15.4701750433276,7,131,315,184,58.4126984126984,17,47,30,63.8297872340426
