"site","date","watershed","kingdom","phylum","class","order","family","genus","species","tot_read","Lowest_ID"
"TLM01",20211117,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium modestum",10,"Maccaffertium modestum"
"TLM01",20211117,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Stenacron","Stenacron interpunctatum",18,"Stenacron interpunctatum"
"TLM01",20211117,"TAL","Eukaryota","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia serricornis",125,"Nigronia serricornis"
"TLM01",20211117,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,14,"Cheumatopsyche"
"TLM01",20211117,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","Pycnopsyche antica",13,"Pycnopsyche antica"
"TLM01",20211208,"TAL","Eukaryota","Annelida","Clitellata","Lumbriculida","Sparganophilidae","Sparganophilus","Sparganophilus sp. HI-2019",8,"Sparganophilus sp. HI-2019"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Dubiraphia",,8,"Dubiraphia"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",,48,"Optioservus"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",,114,"Stenelmis"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum","Polypedilum sp. BOLD:AAB5362",9,"Polypedilum sp. BOLD:AAB5362"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Rheotanytarsus","Rheotanytarsus sp. BOLD-2016",10,"Rheotanytarsus sp. BOLD-2016"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus",,13,"Tanytarsus"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Simuliidae","Simulium",,24,"Simulium"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Baetidae",,,8,"Baetidae"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","Eurylophella verisimilis",137,"Eurylophella verisimilis"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Leucrocuta",,912,"Leucrocuta"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium ithaca",94,"Maccaffertium ithaca"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Stenacron","Stenacron interpunctatum",132,"Stenacron interpunctatum"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Stenacron","Stenacron pallidum",26,"Stenacron pallidum"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Habrophlebiodes","Habrophlebiodes americana",50,"Habrophlebiodes americana"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia serricornis",94,"Nigronia serricornis"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx","Calopteryx maculata",93,"Calopteryx maculata"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Odonata","Cordulegastridae","Cordulegaster",,31,"Cordulegaster"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia",,76,"Allocapnia"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,111,"Cheumatopsyche"
"TLM01",20211208,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","Pycnopsyche antica",57,"Pycnopsyche antica"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Macrocyclops","Macrocyclops albidus",9,"Macrocyclops albidus"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Macronychus","Macronychus sp. BOLD:AAE7495",46,"Macronychus sp. BOLD:AAE7495"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",,79,"Optioservus"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius",,145,"Oulimnius"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Rheotanytarsus",,63,"Rheotanytarsus"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Simuliidae",,,78,"Simuliidae"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Baetidae","Acerpenna",,65,"Acerpenna"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","Eurylophella verisimilis",21,"Eurylophella verisimilis"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Leucrocuta",,109,"Leucrocuta"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium carlsoni",8,"Maccaffertium carlsoni"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium ithaca",98,"Maccaffertium ithaca"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Capniidae",,,131,"Capniidae"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera",,,,41,"Plecoptera"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,80,"Cheumatopsyche"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma latipenne",18,"Lepidostoma latipenne"
"TLM01",20220105,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","Pycnopsyche antica",279,"Pycnopsyche antica"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis","Stenelmis sp. BOLD:AAC4909",11,"Stenelmis sp. BOLD:AAC4909"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Parametriocnemus",,34,"Parametriocnemus"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Rheotanytarsus","Rheotanytarsus sp. BOLD-2016",21,"Rheotanytarsus sp. BOLD-2016"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Empididae","Roederiodes","Roederiodes sp. BOLD:ABA0444",160,"Roederiodes sp. BOLD:ABA0444"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Simuliidae",,,22,"Simuliidae"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Baetidae","Acerpenna",,9,"Acerpenna"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",,230,"Ephemerella"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella",,88,"Eurylophella"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Leucrocuta",,19,"Leucrocuta"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium ithaca",19,"Maccaffertium ithaca"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Habrophlebiodes","Habrophlebiodes americana",31,"Habrophlebiodes americana"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia",,153,"Paraleptophlebia"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,128,"Cheumatopsyche"
"TLM01",20220124,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta",304,"Diplectrona modesta"
"TLM01",20220218,"TAL","Eukaryota","Annelida","Clitellata","Haplotaxida","Naididae","Nais",,16,"Nais"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",,110,"Optioservus"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius",,22,"Oulimnius"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae",,,35,"Elmidae"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Rheotanytarsus",,8,"Rheotanytarsus"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae",,,8,"Chironomidae"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","Prosimulium mixtum",50,"Prosimulium mixtum"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",,29,"Stegopterna"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Baetidae","Acerpenna",,315,"Acerpenna"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",,1284,"Ephemerella"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella",,575,"Eurylophella"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium ithaca",385,"Maccaffertium ithaca"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura",,1225,"Eccoptura"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,347,"Cheumatopsyche"
"TLM01",20220218,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma latipenne",140,"Lepidostoma latipenne"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Dubiraphia",,81,"Dubiraphia"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",,30,"Optioservus"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius","Oulimnius latiusculus",13,"Oulimnius latiusculus"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum",,11,"Polypedilum"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae",,,16,"Chironomidae"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Baetidae","Acerpenna",,12,"Acerpenna"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",,7119,"Ephemerella"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","Eurylophella verisimilis",47,"Eurylophella verisimilis"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",,20,"Epeorus"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium ithaca",667,"Maccaffertium ithaca"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia serricornis",44,"Nigronia serricornis"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Chloroperlidae","Haploperla","Haploperla brevis",20,"Haploperla brevis"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra","Leuctra sp. AMI 1",11,"Leuctra sp. AMI 1"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra","Leuctra tenuis",13,"Leuctra tenuis"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla",,8,"Tallaperla"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Perlidae","Perlesta","Perlesta nelsoni",9,"Perlesta nelsoni"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,105,"Cheumatopsyche"
"TLM01",20220310,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta",47,"Diplectrona modesta"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",,190,"Optioservus"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius","Oulimnius latiusculus",14,"Oulimnius latiusculus"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Psephenidae","Ectopria",,90,"Ectopria"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Rheocricotopus",,127,"Rheocricotopus"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Rheotanytarsus",,8,"Rheotanytarsus"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus",,62,"Tanytarsus"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Thienemanniella","Thienemanniella xena",9,"Thienemanniella xena"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae",,,29,"Dolichopodidae"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Simuliidae","Simulium",,1242,"Simulium"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",,8781,"Ephemerella"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera",,,,227,"Ephemeroptera"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Chloroperlidae","Haploperla","Haploperla brevis",114,"Haploperla brevis"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Leuctridae",,,14,"Leuctridae"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla",,1410,"Tallaperla"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta",277,"Diplectrona modesta"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma griseum",33,"Lepidostoma griseum"
"TLM01",20220329,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Philopotamidae","Chimarra",,152,"Chimarra"
"TLM01",20220422,"TAL","Eukaryota","Annelida","Clitellata","Haplotaxida","Naididae","Nais","Nais variabilis",8,"Nais variabilis"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",,33,"Optioservus"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius","Oulimnius latiusculus",22,"Oulimnius latiusculus"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",,60,"Stenelmis"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus","Psephenus herricki",8,"Psephenus herricki"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Parakiefferiella",,12,"Parakiefferiella"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum","Polypedilum aviceps",12,"Polypedilum aviceps"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Stempellinella","Stempellinella fimbriata",12,"Stempellinella fimbriata"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus","Tanytarsus guerlus",21,"Tanytarsus guerlus"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Thienemanniella","Thienemanniella xena",16,"Thienemanniella xena"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tribelos",,25,"Tribelos"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Empididae","Roederiodes","Roederiodes sp. BOLD:ABA0444",9,"Roederiodes sp. BOLD:ABA0444"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Simuliidae","Simulium",,17,"Simulium"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula abdominalis",10,"Tipula abdominalis"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",,3038,"Ephemerella"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella",,55,"Eurylophella"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium ithaca",413,"Maccaffertium ithaca"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Stenacron","Stenacron interpunctatum",306,"Stenacron interpunctatum"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx",,1215,"Calopteryx"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Odonata","Gomphidae","Gomphus","Gomphus lividus",23,"Gomphus lividus"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Odonata","Gomphidae","Stylogomphus",,27,"Stylogomphus"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Chloroperlidae","Haploperla","Haploperla brevis",65,"Haploperla brevis"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra","Leuctra sp. AMI 1",71,"Leuctra sp. AMI 1"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra","Leuctra tenuis",13,"Leuctra tenuis"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla","Tallaperla cornelia",30,"Tallaperla cornelia"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Plecoptera","Perlidae","Perlesta","Perlesta nelsoni",11,"Perlesta nelsoni"
"TLM01",20220422,"TAL","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,16,"Cheumatopsyche"
"TLM01",20220512,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","Cryptocephalus notatus",9,"Cryptocephalus notatus"
"TLM01",20220512,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Oulimnius","Oulimnius latiusculus",14,"Oulimnius latiusculus"
"TLM01",20220512,"TAL","Eukaryota","Arthropoda","Insecta","Coleoptera","Elmidae","Stenelmis",,102,"Stenelmis"
"TLM01",20220512,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Cricotopus","Cricotopus sp. BOLD-2016",29,"Cricotopus sp. BOLD-2016"
"TLM01",20220512,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Parametriocnemus",,22,"Parametriocnemus"
"TLM01",20220512,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Paratendipes",,10,"Paratendipes"
"TLM01",20220512,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum","Polypedilum convictum",8,"Polypedilum convictum"
"TLM01",20220512,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Rheotanytarsus",,9,"Rheotanytarsus"
"TLM01",20220512,"TAL","Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus","Tanytarsus guerlus",64,"Tanytarsus guerlus"
