"site","date","watershed","Stenelmis","Elmidae","Psephenus herricki","Tanytarsus sp. BOLD-2016","Tanytarsus sp. BOLD:AAC0299","Tanytarsus sp. BOLD:ACL3790","Maccaffertium meririvulanum","Nigronia fasciatus","Calopteryx","Tallaperla","Eccoptura","Diplectrona metaqui","Diplectrona modesta","Wormaldia","Bdellidae","Oulimnius latiusculus","Stenelmis sp. BOLD:AAC4909","Psephenus","Parametriocnemus sp. BOLD-2016","Roederiodes sp. BOLD:ABA0444","Dicranota sp. BOLD:ABW5265","Microvelia americana","Tallaperla cornelia","Cyclopidae","Dubiraphia","Palpomyia","Ceratopogonidae","Limnophyes sp. BOLD-2016","Stempellinella boltoni","Procloeon","Habrophlebia vibrans","Heteroplectron americanum","Lepidostoma griseum","Lepidostoma latipenne","Chamobates","Chironomus harpi","Polypedilum sp. TTMDJ065-10","Procladius","Thienemanniella xena","Erioptera","Bittacomorpha clavipes","Chrysops cincticornis","Chauliodes","Nais","Conchapelopia sp. BOLD-2016","Parametriocnemus","Rheotanytarsus sp. BOLD-2016","Molanna blenda","Cambarus","Optioservus","Cryptochironomus","Parakiefferiella sp. BOLD:AAI2682","Paraphaenocladius sp. BOLD-2016","Tanytarsus","Antocha sp. BOLD:AAI4397","Simulium sp. BOLD:AAA9710","Kalyptogaster erronea","Leuctra sp. AMI 1","Perlesta nelsoni","Hydropsyche betteni","Pycnopsyche antica","Lacunicambarus acanthura","Galumnidae","Micropsectra","Stempellinella fimbriata","Xylotopus sp. BOLD-2016","Culex territans","Habrophlebiodes americana","Corixidae","Psilotreta rufa","Nais communis/variabilis complex sp. A4","Collembola","Culicoides sp. BOLD:ACJ9032","Limoniidae","Simulium","Sparganophilus sp. HI-2019","Sparganophilus sp. MAC_SRS_S02","Oulimnius","Dixidae","Ephemerella","Hexagenia","Leuctridae","Eccoptura xanthenes","Trombidiformes","Thienemannimyia","Ephemeroptera","Leuctra sp. BOLD:AAC1685","Leuctra tenuis","Cheumatopsyche","Psectrocladius sp. BOLD-2016","Rheotanytarsus","Stempellinella sp. BOLD:AAH0041","Tanytarsus sp. 1 BWS-2011","Thienemanniella","Leucrocuta","Nigronia serricornis","Gomphus graslinellus","Leuctra","Cheumatopsyche enigma","Triaenodes ignitus","Triaenodes ochraceus","Molanna tryphena","Macronychus sp. BOLD:AAE7495","Optioservus sp. BOLD:AAA9073","Cricotopus","Polypedilum sp. BOLD:AAB5362","Hemerodromia sp. BOLD:AAF9754","Hydropsyche sp. BOLD:AAA1669","Aulodrilus pluriseta","Platyseius sp. n. 2 MRY-2019","Macrocyclops","Polypedilum","Simulium verecundum","Baetidae","Elophila icciusalis","Sialis","Calopteryx maculata","Gomphus lividus","Prostoma cf. eilhardi EZ-2019","Atrichopogon","Chironomus","Limnophyes","Dolichopodidae","Hemerodromia","Protodeltote muscosula","Boyeria","Cordulegaster","Phylocentropus carolinus","Palpomyia sp. BOLD-2016","Clinotanypus","Corynoneura","Lauterborniella agrayloides","Tribelos","Psychodidae","Hybomitra","Eurylophella","Gomphus","Anisocentropus pyraloides","Mystacides sepulchralis","Elimia","Promoresia","Simuliidae","Acerpenna","Oecetis georgia","Ptilodactyla serricollis","Tanytarsus guerlus","Megaselia","Rhagovelia","Stylogomphus","Isoperla nr. holochlora BOLD:AAB1101","Amynthas corticis","Oripodidae","Polypedilum aviceps","Tipula abdominalis","Paraleuctra","Chironomidae","Simulium nr. Lakei JKM-2011","Lucoppia sp. BOLD:ADE3167","Entomobryomorpha","Ectopria","Hydrellia nobilis","Cyrtoxipha columbiana","Phyllopalpus pulchellus","Cricotopus sp. BOLD-2016","Tipula sp. BOLD:AAF8986","Psilotreta","Sarcoptiformes","Carabidae","Dasyhelea","Paratanytarsus sp. BOLD-2016","Lepidostoma carrolli","Microtendipes","Diplectrona","Dolophilodes","Staphylinidae","Octolasion","Enchytraeidae","Cricotopus vierriensis","Dicrotendipes","Orthocladius sp. BOLD-2016","Paratendipes","Tanytarsus sp. 1SMY050813-THBH073","Stenonema femoratum","Siphlonurus marshalli","Perlesta cinctipes","Ptilodactyla sp. BOLD:ACF0285","Platydracus cinnamopterus","Corynoneura sp. BOLD:AAG0994","Simulium sp. BOLD-2016","Simulium sp. BOLD:ACI0635","Tabanus atratus","Callibaetis","Achatia distincta","Scheloribatidae","Dero digitata","Chironomus cf. decorus BOLD:AAB7030","Chrysops sp. BOLD:AAI4069","Allonemobius","Faxonius virilis species complex clade 3","Kuschelina gibbitarsa","Curculionidae","Cricotopus infuscatus","Micropsectra nigripila","Polypedilum convictum","Simulium sp. BOLD:AAA4121","Fallceon","Feltia","Altica","Cricotopus sp. BIOUG23890-G12","Argia sp. BOLD:AAH6883","Tetrix","Trichocorixa kanza","Chironomus sp. TTMDJ097-10","Tvetenia paucunca","Orconectes neglectus","Limnodrilus claparedianus","Paratanytarsus sp. 5TE","Conchapelopia telema","Eukiefferiella","Cricotopus triannulatus","Thienemanniella sp. BOLD:AAD5253","Acanthocyclops robustus","Ilythea spilota","Stratiomys sp. SLB-2003","Oecanthus niveus","Sanfilippodytes","Micropsectra sp. BOLD:ABV1194","Nanocladius anderseni","Neoporus dimidiatus","Chironomus sp. BOLD:AAB7030","Anaxipha","Sperchontidae","Helodon","Diphetor hageni group sp. BG-2018","Epeorus","Pteronarcella badia","Parapsyche almota","Narpus","Tipula sp. BBTIP148-10","Baetis tricaudatus","Hesperoperla pacifica","Pteronarcys californica","Pteronarcys princeps","Dicosmoecus","Eiseniella tetraedra","Tubifex tubifex","Ametor scabrosus","Stempellinella","Prosimulium sp. BOLD-2016","Simulium craigi","Ameletus celer","Sweltsa","Podmosta","Isoperla sobria","Psychoglypha sp. BIOUG01","Colligyrus greggi","Lebertiidae","Diamesa nr. hyperborea BOLD:AAL5996","Twinnia nova","Baetis bicaudatus","Ephemerella tibialis","Rhithrogena sp. I14-145-04","Neophylax splendens","Altica probata","Amphicosmoecus canax","Allolobophora","Ameletus cooki","Onocosmoecus unicolor","Cinygmula sp. JMW5","Homophylax","Pseudodiamesa","Tricyphona","Anystidae","Oreodytes","Brillia sp. BOLD-2016","Zapada cinctipes","Lepidostoma","Neothremma alicia","Aporrectodea caliginosa L3","Lumbricus terrestris","Abrolophus","Micropsectra sp. BOLD:AAN4681","Melanoplus","Hydryphantidae","Micropsectra sp. BIOUG25360-C01","Hesperophylax designatus","Micropsectra sp. BOLD:AAI1531","Ceratozetidae","Brachycentrus americanus","Molophilus oligacanthus","Melyridae","Neoleptophlebia heteronea"
"TLA01",1,"SE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLA02",1,"SE",0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLA04",1,"SE",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLB01",1,"SE",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLB02",1,"SE",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLC01",1,"SE",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLC02",1,"SE",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLC03",1,"SE",0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLCG1",1,"SE",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLM01",1,"SE",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLM03",1,"SE",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLM04",1,"SE",0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
